id,name,brand,is_clone,clone_of,notes,raw_image_url,clean_image_url,price_history,status
103,organza,givenchy,False,,"nutmeg, gardenia, african orange flower, green notes, bergamot, tuberose, jasmine, honeysuckle, iris, peony, mace, vanilla, amber, woodsy notes, guaiac wood, virginia cedar",https://fimgs.net/images/perfume/nd.4.jpg,,,
104,coco-noir,chanel,False,,"grapefruit, bergamot, orange, rose, geranium, jasmine, narcissus, peach, patchouli, sandalwood, olibanum, tonka bean, vanille, white musk, cloves, benzoin",https://fimgs.net/images/perfume/nd.15963.jpg,,,
105,boss-bottled,hugo-boss,False,,"apple, plum, lemon, bergamot, oakmoss, geranium, cinnamon, mahogany, carnation, vanilla, sandalwood, cedar, vetiver, olive tree",https://fimgs.net/images/perfume/nd.383.jpg,,,
106,invictus,paco-rabanne,False,,"sea notes, grapefruit, mandarin orange, bay leaf, jasmine, ambergris, guaiac wood, oakmoss, patchouli",https://fimgs.net/images/perfume/nd.18471.jpg,,,
107,la-petite-robe-noire,guerlain,False,,"sour cherry, almond, red berries, bergamot, licorice, rose, tea, taif rose, vanilla, anise, tonka bean, patchouli, iris",https://fimgs.net/images/perfume/nd.14681.jpg,,,
108,midnight-fantasy,britney-spears,False,,"plum, sour cherry, raspberry, orchid, iris, freesia, vanilla, amber, musk",https://fimgs.net/images/perfume/nd.802.jpg,,,
109,london-for-men,burberry,False,,"cinnamon, lavender, bergamot, leather, mimosa, tobacco leaf, guaiac wood, opoponax, oakmoss",https://fimgs.net/images/perfume/nd.804.jpg,,,
110,le-male-elixir,jean-paul-gaultier,False,,"lavender, mint, vanilla, benzoin, honey, tonka bean, tobacco",https://fimgs.net/images/perfume/nd.81642.jpg,,,
111,armani-code,giorgio-armani,False,,"lemon, bergamot, star anise, olive blossom, guaiac wood, leather, tonka bean, tobacco",https://fimgs.net/images/perfume/nd.412.jpg,,,
112,cinema,yves-saint-laurent,False,,"almond blossom, clementine, cyclamen, jasmine, peony, amaryllis, vanilla, amber, benzoin, white musk",https://fimgs.net/images/perfume/nd.92.jpg,,,
113,versense,versace,False,,"bergamot, citruses, green mandarin, fig, pear, cardamom, lily, jasmine, narcissus, virginia cedar, musk, olive tree, sandalwood",https://fimgs.net/images/perfume/nd.5752.jpg,,,
114,burberry-her,burberry,False,,"strawberry, raspberry, blackberry, sour cherry, black currant, mandarin orange, lemon, violet, jasmine, musk, vanilla, cashmeran, woody notes, amber, oakmoss, patchouli",https://fimgs.net/images/perfume/nd.51694.jpg,,,
115,dolce-vita,dior,False,,"peach, cardamom, lily, grapefruit, bergamot, rose, cinnamon, apricot, brazilian rosewood, heliotrope, magnolia, vanilla, sandalwood, cedar, coconut",https://fimgs.net/images/perfume/nd.222.jpg,,,
116,infusion-d-iris,prada,False,,"african orange flower, neroli, orange, mandarin orange, iris, galbanum, mastic or lentisque, incense, virginia cedar, benzoin, vetiver",https://fimgs.net/images/perfume/nd.1795.jpg,,,
117,egoiste-platinum,chanel,False,,"lavender, rosemary, neroli, petitgrain, geranium, clary sage, galbanum, jasmine, oakmoss, vetiver, cedar, sandalwood, amber",https://fimgs.net/images/perfume/nd.614.jpg,,,
118,joop-homme,joop,False,,"orange blossom, mandarin orange, bergamot, amalfi lemon, cinnamon, heliotrope, jasmine, cardamom, lily-of-the-valley, vanilla, tonka bean, sandalwood, patchouli, honey, tobacco, vetiver",https://fimgs.net/images/perfume/nd.1251.jpg,,,
119,kenzo-amour,kenzo,False,,"rice, white tea, frangipani, cherry blossom, heliotrope, vanille, incense, musk, thanaka wood",https://fimgs.net/images/perfume/nd.664.jpg,,,
120,tresor-midnight-rose,lancome,False,,"raspberry, rose, cassis, pink pepper, peony, jasmine, vanille, musk, virginia cedar",https://fimgs.net/images/perfume/nd.11721.jpg,,,
121,a-men,mugler,False,,"lavender, mint, fruity, spicy notes, coriander, green notes, bergamot, caramel, patchouli, honey, milk, cedar, jasmine, lily-of-the-valley, coffee, vanilla, tonka bean, benzoin, amber, sandalwood, musk",https://fimgs.net/images/perfume/nd.705.jpg,,,
122,l-homme,yves-saint-laurent,False,,"ginger, bergamot, lemon, spices, violet leaf, white pepper, basil, tonka bean, cedar, tahitian vetiver",https://fimgs.net/images/perfume/nd.734.jpg,,,
123,xj-1861-naxos,xerjoff,False,,"lavender, bergamot, lemon, honey, cinnamon, cashmeran, jasmine sambac, tobacco leaf, vanilla, tonka bean",https://fimgs.net/images/perfume/nd.30529.jpg,,,
124,allure-homme-sport-eau-extreme,chanel,False,,"mandarin orange, mint, cypress, sage, pepper, tonka bean, musk, sandalwood, cedar",https://fimgs.net/images/perfume/nd.14669.jpg,,,
125,cedrat-boise,mancera,False,,"sicilian lemon, black currant, bergamot, spicy notes, fruity notes, patchouli leaf, water jasmine, cedar, leather, sandalwood, vanilla, white musk, moss",https://fimgs.net/images/perfume/nd.15211.jpg,,,
126,loulou,cacharel,False,,"plum, chinese cinnamon wood, iris, violet, lily, anise, jasmine, mimosa, cassia, ylang-ylang, heliotrope, orris root, orange blossom, tahitian tiare flower, incense, vanilla, benzoin, sandalwood, musk",https://fimgs.net/images/perfume/nd.1276.jpg,,,
127,l-eau-d-issey,issey-miyake,False,,"lotus, melon, freesia, rose water, rose, calone, cyclamen, lily-of-the-valley, lily, water peony, carnation, musk, tuberose, exotic woods, osmanthus, cedar, sandalwood, amber",https://fimgs.net/images/perfume/nd.720.jpg,,,
128,eros-flame,versace,False,,"mandarin orange, madagascar pepper, lemon, chinotto, rosemary, geranium, rose, pepperwood™, vanilla, tonka bean, sandalwood, texas cedar, patchouli, oakmoss",https://fimgs.net/images/perfume/nd.52180.jpg,,,
129,emporio-armani-stronger-with-you-intensely,giorgio-armani,False,,"pink pepper, juniper, violet, toffee, cinnamon, lavender, sage, vanilla, amber, tonka bean, suede",https://fimgs.net/images/perfume/nd.52802.jpg,,,
130,aura-mugler,mugler,False,,"rhubarb leaf, bergamot, green notes, orange blossom, ylang-ylang, pear, bourbon vanilla, woody notes, amberwood, sandalwood, coumarin",https://fimgs.net/images/perfume/nd.45639.jpg,,,
